amount,description,date,currency
4378.06,Medical bill,2023-02-14,INR
3379.51,Ola cab ride,2023-08-03,INR
1086.29,Grocery shopping,2023-10-07,INR
1943.15,Coffee at cafe,2023-10-01,INR
585.74,Amazon purchase,2023-01-08,INR
405.27,Rent payment,2023-09-28,INR
4633.16,Medical bill,2023-05-28,INR
2510.44,Electricity bill,2023-01-21,INR
1699.81,Gym membership,2023-07-30,INR
1642.79,Ola cab ride,2023-03-04,INR
4760.88,Movie tickets,2023-10-05,INR
4954.98,Mobile recharge,2023-08-11,INR
2807.29,Flight booking,2023-01-02,INR
3502.89,Medical bill,2023-09-09,INR
2336.87,Book purchase,2023-01-10,INR
4355.31,Ola cab ride,2023-02-12,INR
3948.46,Gym membership,2023-04-02,INR
3498.22,Gym membership,2023-05-23,INR
1520.64,Zomato food order,2023-08-30,INR
2798.65,Flight booking,2023-08-28,INR
4546.32,Rent payment,2023-11-03,INR
4981.9,Hotel stay,2023-03-12,INR
3836.99,Clothing shopping,2023-03-26,INR
4033.13,Movie tickets,2023-04-06,INR
4502.64,Ola cab ride,2023-06-21,INR
2392.35,Medical bill,2023-08-02,INR
4911.29,Flight booking,2023-08-26,INR
3813.16,Clothing shopping,2023-08-29,INR
4240.48,Flight booking,2023-02-28,INR
2265.05,Gym membership,2023-12-01,INR
1427.94,Swiggy food order,2023-03-31,INR
1628.88,Zomato food order,2023-10-11,INR
4526.57,Swiggy food order,2023-01-19,INR
1717.56,Electricity bill,2023-06-09,INR
805.98,Electricity bill,2023-09-13,INR
2001.22,Zomato food order,2023-05-20,INR
2180.08,Hotel stay,2023-01-25,INR
1479.89,Grocery shopping,2023-08-01,INR
3508.61,Swiggy food order,2023-03-07,INR
3400.54,Ola cab ride,2023-05-16,INR
3150.21,Hotel stay,2023-12-16,INR
4138.44,Electricity bill,2023-08-18,INR
2604.11,Rent payment,2023-03-07,INR
4077.52,Mobile recharge,2023-06-01,INR
3605.08,Grocery shopping,2023-12-05,INR
731.08,Medical bill,2023-04-21,INR
2557.64,Book purchase,2023-10-18,INR
2425.6,Mobile recharge,2023-03-22,INR
2195.67,Medical bill,2023-02-03,INR
1315.42,Mobile recharge,2023-09-21,INR
3275.37,Coffee at cafe,2023-04-24,INR
4210.06,Flight booking,2023-01-09,INR
4540.48,Hotel stay,2023-02-16,INR
1198.98,Amazon purchase,2023-06-12,INR
3724.39,Coffee at cafe,2023-07-10,INR
2558.91,Medical bill,2023-11-17,INR
4794.53,Rent payment,2023-11-08,INR
3348.52,Movie tickets,2023-03-22,INR
4025.85,Rent payment,2023-09-13,INR
234.08,Amazon purchase,2023-04-05,INR
644.88,Swiggy food order,2023-02-06,INR
3035.34,Medical bill,2023-05-25,INR
3296.38,Mobile recharge,2023-04-22,INR
4471.92,Movie tickets,2023-04-14,INR
1636.59,Flight booking,2023-08-11,INR
3136.03,Medical bill,2023-11-06,INR
631.34,Clothing shopping,2023-02-12,INR
4603.55,Flight booking,2023-12-04,INR
4156.42,Hotel stay,2023-06-21,INR
157.19,Clothing shopping,2023-12-03,INR
1415.82,Grocery shopping,2023-01-22,INR
4319.13,Amazon purchase,2023-07-03,INR
3164.11,Book purchase,2023-05-02,INR
199.74,Movie tickets,2023-08-23,INR
3556.37,Clothing shopping,2023-08-15,INR
1487.79,Swiggy food order,2023-02-13,INR
272.0,Hotel stay,2023-02-17,INR
144.72,Movie tickets,2023-12-06,INR
3331.72,Zomato food order,2023-02-19,INR
3472.16,Ola cab ride,2023-07-31,INR
616.16,Flight booking,2023-05-30,INR
1218.08,Amazon purchase,2023-05-19,INR
2133.57,Swiggy food order,2023-10-30,INR
3659.24,Clothing shopping,2023-01-13,INR
4325.31,Gym membership,2023-01-03,INR
1830.02,Medical bill,2023-11-24,INR
255.29,Gym membership,2023-05-13,INR
525.57,Clothing shopping,2023-01-10,INR
503.73,Coffee at cafe,2023-08-09,INR
2968.44,Rent payment,2023-07-02,INR
3262.01,Clothing shopping,2023-02-20,INR
2458.38,Book purchase,2023-11-27,INR
2242.47,Medical bill,2023-01-01,INR
4453.85,Rent payment,2023-05-01,INR
3314.77,Electricity bill,2023-10-19,INR
2394.1,Flight booking,2023-06-01,INR
3594.9,Mobile recharge,2023-05-10,INR
2026.13,Gym membership,2023-04-25,INR
1964.33,Flight booking,2023-03-21,INR
361.82,Mobile recharge,2023-03-22,INR
1568.54,Rent payment,2023-08-07,INR
1978.08,Zomato food order,2023-10-31,INR
1223.84,Mobile recharge,2023-04-13,INR
2976.78,Flight booking,2023-11-11,INR
1198.83,Hotel stay,2023-02-14,INR
4198.36,Mobile recharge,2023-03-28,INR
3198.15,Grocery shopping,2023-01-05,INR
3075.77,Swiggy food order,2023-05-06,INR
1522.33,Clothing shopping,2023-11-17,INR
3898.66,Electricity bill,2023-02-01,INR
3941.55,Book purchase,2023-01-21,INR
429.2,Zomato food order,2023-08-14,INR
2687.96,Hotel stay,2023-08-18,INR
3753.39,Ola cab ride,2023-12-16,INR
4467.64,Grocery shopping,2023-01-07,INR
3134.9,Mobile recharge,2023-09-21,INR
2485.46,Mobile recharge,2023-10-13,INR
1128.84,Coffee at cafe,2023-11-24,INR
4250.77,Rent payment,2023-09-19,INR
4625.66,Ola cab ride,2023-11-14,INR
4131.88,Movie tickets,2023-04-15,INR
4509.38,Clothing shopping,2023-11-26,INR
415.67,Swiggy food order,2023-06-25,INR
1058.04,Gym membership,2023-05-06,INR
2562.46,Zomato food order,2023-06-09,INR
2460.42,Ola cab ride,2023-07-29,INR
3106.58,Coffee at cafe,2023-06-21,INR
2635.39,Medical bill,2023-11-12,INR
329.55,Coffee at cafe,2023-06-11,INR
2658.5,Swiggy food order,2023-10-05,INR
403.51,Clothing shopping,2023-05-18,INR
2424.41,Mobile recharge,2023-01-04,INR
1746.51,Grocery shopping,2023-12-17,INR
2224.6,Gym membership,2023-11-20,INR
3106.59,Hotel stay,2023-09-30,INR
4398.31,Mobile recharge,2023-07-18,INR
1259.42,Amazon purchase,2023-01-27,INR
2605.04,Ola cab ride,2023-04-13,INR
3875.32,Gym membership,2023-01-27,INR
612.2,Movie tickets,2023-01-23,INR
544.49,Clothing shopping,2023-02-28,INR
1594.58,Gym membership,2023-02-16,INR
3083.47,Book purchase,2023-02-02,INR
386.08,Grocery shopping,2023-05-22,INR
3104.99,Ola cab ride,2023-12-31,INR
1301.11,Medical bill,2023-02-23,INR
3666.46,Coffee at cafe,2023-07-16,INR
1794.16,Mobile recharge,2023-03-25,INR
1958.85,Coffee at cafe,2023-02-05,INR
4211.58,Coffee at cafe,2023-04-19,INR
4135.31,Medical bill,2023-01-08,INR
357.95,Medical bill,2023-08-11,INR
1670.19,Movie tickets,2023-11-20,INR
1530.85,Clothing shopping,2023-07-29,INR
1062.38,Rent payment,2023-12-20,INR
413.4,Flight booking,2023-10-12,INR
4081.4,Electricity bill,2023-07-13,INR
2950.07,Book purchase,2023-09-27,INR
3354.49,Rent payment,2023-10-24,INR
154.28,Mobile recharge,2023-05-07,INR
3454.1,Book purchase,2023-07-11,INR
1342.61,Mobile recharge,2023-11-26,INR
1226.85,Movie tickets,2023-08-15,INR
4263.3,Book purchase,2023-09-28,INR
122.31,Clothing shopping,2023-01-26,INR
4658.0,Coffee at cafe,2023-07-20,INR
1305.73,Mobile recharge,2023-07-16,INR
4037.2,Zomato food order,2023-04-03,INR
1463.89,Mobile recharge,2023-07-07,INR
1438.54,Zomato food order,2023-11-09,INR
3778.62,Electricity bill,2023-07-17,INR
4000.83,Coffee at cafe,2023-03-02,INR
4708.64,Grocery shopping,2023-07-08,INR
3789.2,Clothing shopping,2023-01-02,INR
4004.46,Amazon purchase,2023-09-04,INR
815.44,Grocery shopping,2023-10-08,INR
2403.63,Swiggy food order,2023-11-02,INR
1968.75,Book purchase,2023-10-07,INR
4777.78,Zomato food order,2023-02-25,INR
4497.98,Zomato food order,2023-05-04,INR
414.31,Amazon purchase,2023-09-03,INR
3583.71,Rent payment,2023-10-30,INR
4410.76,Gym membership,2023-11-08,INR
2838.35,Electricity bill,2023-07-10,INR
460.3,Gym membership,2023-09-07,INR
1281.9,Hotel stay,2023-07-15,INR
360.72,Book purchase,2023-09-01,INR
3477.24,Hotel stay,2023-12-30,INR
3798.3,Coffee at cafe,2023-06-02,INR
493.45,Zomato food order,2023-09-24,INR
1138.88,Electricity bill,2023-10-14,INR
1185.63,Ola cab ride,2023-06-03,INR
4903.53,Book purchase,2023-05-25,INR
692.41,Book purchase,2023-10-09,INR
1010.79,Ola cab ride,2023-11-12,INR
605.76,Rent payment,2023-03-30,INR
2587.92,Medical bill,2023-12-21,INR
339.23,Gym membership,2023-09-21,INR
1446.36,Amazon purchase,2023-05-21,INR
1584.72,Flight booking,2023-12-12,INR
4438.7,Book purchase,2023-02-14,INR
1320.65,Medical bill,2023-10-26,INR
3798.53,Rent payment,2023-01-10,INR
3612.49,Hotel stay,2023-04-17,INR
4968.55,Amazon purchase,2023-11-06,INR
3983.98,Movie tickets,2023-11-09,INR
2146.58,Rent payment,2023-05-24,INR
4886.15,Medical bill,2023-08-06,INR
4750.79,Swiggy food order,2023-03-14,INR
2964.02,Gym membership,2023-06-29,INR
3875.44,Swiggy food order,2023-03-13,INR
4969.55,Electricity bill,2023-02-25,INR
908.51,Swiggy food order,2023-10-12,INR
2149.62,Zomato food order,2023-12-03,INR
1793.33,Medical bill,2023-06-20,INR
1467.04,Zomato food order,2023-10-18,INR
2916.56,Movie tickets,2023-05-03,INR
4131.95,Medical bill,2023-12-05,INR
917.75,Electricity bill,2023-06-27,INR
4404.63,Flight booking,2023-11-26,INR
4342.17,Zomato food order,2023-08-31,INR
4088.49,Movie tickets,2023-04-03,INR
3113.99,Ola cab ride,2023-08-04,INR
1340.99,Grocery shopping,2023-02-20,INR
294.1,Mobile recharge,2023-02-18,INR
1250.7,Zomato food order,2023-08-02,INR
3087.35,Clothing shopping,2023-12-02,INR
405.11,Rent payment,2023-10-18,INR
1765.5,Flight booking,2023-04-16,INR
1452.44,Movie tickets,2023-05-26,INR
2763.82,Amazon purchase,2023-01-25,INR
1302.12,Ola cab ride,2023-11-14,INR
436.44,Flight booking,2023-12-02,INR
1780.91,Hotel stay,2023-03-21,INR
1985.24,Swiggy food order,2023-08-04,INR
4664.65,Hotel stay,2023-08-13,INR
3272.49,Clothing shopping,2023-10-17,INR
2680.32,Movie tickets,2023-07-22,INR
251.73,Gym membership,2023-02-28,INR
4891.17,Electricity bill,2023-11-04,INR
1576.08,Flight booking,2023-09-09,INR
1164.92,Swiggy food order,2023-05-09,INR
1120.09,Mobile recharge,2023-10-09,INR
4207.55,Medical bill,2023-07-28,INR
2802.64,Mobile recharge,2023-11-23,INR
1719.57,Hotel stay,2023-01-11,INR
4716.4,Coffee at cafe,2023-07-31,INR
3031.84,Zomato food order,2023-06-21,INR
1016.98,Swiggy food order,2023-05-20,INR
2006.07,Swiggy food order,2023-02-05,INR
2809.86,Clothing shopping,2023-06-03,INR
2114.51,Clothing shopping,2023-09-21,INR
3103.54,Coffee at cafe,2023-02-19,INR
3427.94,Movie tickets,2023-03-24,INR
505.3,Grocery shopping,2023-10-03,INR
4879.57,Rent payment,2023-06-09,INR
2914.23,Flight booking,2023-02-26,INR
3986.98,Coffee at cafe,2023-08-28,INR
4899.3,Ola cab ride,2023-10-22,INR
2252.02,Hotel stay,2023-08-24,INR
1724.37,Zomato food order,2023-10-25,INR
3365.93,Movie tickets,2023-03-29,INR
1861.25,Gym membership,2023-12-21,INR
4776.7,Flight booking,2023-03-24,INR
4234.78,Hotel stay,2023-04-23,INR
2840.46,Clothing shopping,2023-09-17,INR
1276.25,Amazon purchase,2023-08-09,INR
2796.21,Movie tickets,2023-07-28,INR
3492.05,Rent payment,2023-09-04,INR
3188.86,Hotel stay,2023-06-10,INR
241.66,Grocery shopping,2023-03-18,INR
455.44,Gym membership,2023-10-22,INR
3108.01,Electricity bill,2023-11-11,INR
3884.95,Rent payment,2023-05-29,INR
3835.05,Coffee at cafe,2023-07-23,INR
251.97,Grocery shopping,2023-04-21,INR
380.9,Hotel stay,2023-05-13,INR
4459.12,Zomato food order,2023-09-02,INR
4824.39,Clothing shopping,2023-02-21,INR
4720.48,Mobile recharge,2023-08-31,INR
986.54,Grocery shopping,2023-01-03,INR
4597.18,Clothing shopping,2023-10-22,INR
2198.27,Zomato food order,2023-05-19,INR
2208.74,Grocery shopping,2023-02-14,INR
4849.99,Medical bill,2023-06-08,INR
3774.31,Gym membership,2023-07-05,INR
1389.83,Electricity bill,2023-12-09,INR
411.32,Grocery shopping,2023-06-03,INR
692.34,Coffee at cafe,2023-10-10,INR
620.14,Swiggy food order,2023-08-11,INR
906.31,Gym membership,2023-11-07,INR
3519.53,Book purchase,2023-07-12,INR
773.87,Ola cab ride,2023-08-21,INR
3633.95,Flight booking,2023-06-02,INR
3897.01,Rent payment,2023-11-14,INR
2656.26,Clothing shopping,2023-08-22,INR
4837.33,Rent payment,2023-06-05,INR
569.25,Gym membership,2023-04-10,INR
211.58,Ola cab ride,2023-09-23,INR
1748.73,Ola cab ride,2023-11-23,INR
3081.96,Rent payment,2023-09-10,INR
1504.32,Amazon purchase,2023-06-15,INR
4442.81,Amazon purchase,2023-08-14,INR
4493.46,Movie tickets,2023-12-25,INR
4634.46,Zomato food order,2023-08-22,INR
1182.18,Movie tickets,2023-11-20,INR
3569.66,Movie tickets,2023-08-07,INR
1971.06,Flight booking,2023-07-27,INR
2883.75,Movie tickets,2023-12-03,INR
2345.12,Mobile recharge,2023-09-03,INR
2708.74,Movie tickets,2023-11-25,INR
664.83,Ola cab ride,2023-07-08,INR
2006.63,Gym membership,2023-05-06,INR
4071.1,Grocery shopping,2023-01-31,INR
1358.34,Movie tickets,2023-09-10,INR
4303.48,Gym membership,2023-01-21,INR
2801.6,Coffee at cafe,2023-10-12,INR
4309.83,Book purchase,2023-08-06,INR
3230.34,Swiggy food order,2023-07-29,INR
857.55,Zomato food order,2023-05-24,INR
3121.41,Book purchase,2023-10-03,INR
1549.57,Medical bill,2023-06-07,INR
2360.85,Movie tickets,2023-12-16,INR
1558.69,Book purchase,2023-09-08,INR
673.33,Amazon purchase,2023-11-12,INR
3708.49,Hotel stay,2023-10-12,INR
1465.17,Zomato food order,2023-08-24,INR
1385.85,Medical bill,2023-04-03,INR
1747.6,Flight booking,2023-01-04,INR
2061.85,Gym membership,2023-07-01,INR
669.71,Rent payment,2023-06-25,INR
2044.82,Mobile recharge,2023-12-29,INR
452.9,Electricity bill,2023-04-01,INR
329.84,Gym membership,2023-03-12,INR
1686.34,Zomato food order,2023-11-13,INR
3496.4,Grocery shopping,2023-01-28,INR
1491.7,Flight booking,2023-10-17,INR
2400.97,Gym membership,2023-07-21,INR
3494.19,Hotel stay,2023-01-29,INR
4672.65,Rent payment,2023-04-17,INR
1327.25,Swiggy food order,2023-02-19,INR
264.2,Mobile recharge,2023-09-11,INR
295.34,Flight booking,2023-06-09,INR
731.59,Swiggy food order,2023-08-08,INR
1443.56,Gym membership,2023-05-17,INR
2179.75,Mobile recharge,2023-02-24,INR
4659.84,Movie tickets,2023-04-14,INR
2112.72,Electricity bill,2023-08-11,INR
2399.67,Electricity bill,2023-01-21,INR
1998.93,Grocery shopping,2023-03-18,INR
1999.13,Book purchase,2023-07-10,INR
305.31,Movie tickets,2023-08-07,INR
794.01,Flight booking,2023-08-13,INR
3247.55,Grocery shopping,2023-10-25,INR
2512.42,Hotel stay,2023-08-13,INR
1246.67,Coffee at cafe,2023-11-30,INR
490.83,Zomato food order,2023-02-13,INR
3036.97,Coffee at cafe,2023-05-21,INR
942.61,Ola cab ride,2023-11-21,INR
3906.53,Grocery shopping,2023-02-24,INR
1241.98,Amazon purchase,2023-03-17,INR
2936.1,Grocery shopping,2023-09-12,INR
337.52,Coffee at cafe,2023-06-23,INR
2812.73,Gym membership,2023-02-07,INR
3337.96,Clothing shopping,2023-04-22,INR
4208.63,Rent payment,2023-01-08,INR
3569.24,Ola cab ride,2023-07-09,INR
2367.76,Flight booking,2023-08-19,INR
1962.74,Coffee at cafe,2023-08-26,INR
3189.32,Swiggy food order,2023-07-27,INR
527.68,Flight booking,2023-04-28,INR
126.57,Clothing shopping,2023-12-28,INR
2767.46,Gym membership,2023-01-26,INR
3293.49,Swiggy food order,2023-11-15,INR
1710.37,Amazon purchase,2023-09-16,INR
4272.67,Electricity bill,2023-07-25,INR
1434.6,Hotel stay,2023-04-04,INR
209.23,Grocery shopping,2023-12-16,INR
2154.17,Coffee at cafe,2023-10-08,INR
4457.65,Ola cab ride,2023-08-06,INR
2711.5,Flight booking,2023-06-20,INR
3414.36,Gym membership,2023-04-07,INR
2099.99,Coffee at cafe,2023-01-02,INR
3273.86,Ola cab ride,2023-04-18,INR
1369.55,Zomato food order,2023-10-30,INR
1485.34,Grocery shopping,2023-10-31,INR
1683.27,Rent payment,2023-03-31,INR
992.56,Book purchase,2023-07-23,INR
2409.72,Medical bill,2023-10-27,INR
3275.44,Ola cab ride,2023-10-30,INR
2098.29,Rent payment,2023-05-18,INR
1501.7,Ola cab ride,2023-01-11,INR
2076.82,Coffee at cafe,2023-08-25,INR
1300.95,Coffee at cafe,2023-09-16,INR
4183.07,Clothing shopping,2023-12-31,INR
2204.93,Book purchase,2023-03-12,INR
269.37,Ola cab ride,2023-11-29,INR
3199.52,Mobile recharge,2023-06-07,INR
1813.62,Swiggy food order,2023-09-26,INR
2933.46,Zomato food order,2023-03-17,INR
4174.78,Hotel stay,2023-03-16,INR
4156.27,Zomato food order,2023-08-21,INR
999.57,Swiggy food order,2023-06-03,INR
1005.92,Swiggy food order,2023-11-09,INR
4701.86,Rent payment,2023-07-01,INR
609.92,Coffee at cafe,2023-02-06,INR
1505.01,Hotel stay,2023-02-01,INR
2158.5,Ola cab ride,2023-07-30,INR
3633.13,Electricity bill,2023-08-05,INR
4073.31,Gym membership,2023-01-24,INR
4593.35,Amazon purchase,2023-03-18,INR
4060.47,Rent payment,2023-10-23,INR
2713.15,Movie tickets,2023-05-17,INR
4589.16,Flight booking,2023-12-03,INR
1172.55,Medical bill,2023-11-07,INR
2244.19,Ola cab ride,2023-11-05,INR
3350.58,Ola cab ride,2023-11-29,INR
4124.24,Zomato food order,2023-05-27,INR
1026.62,Zomato food order,2023-02-13,INR
750.92,Zomato food order,2023-10-30,INR
3993.21,Flight booking,2023-07-23,INR
3033.83,Medical bill,2023-10-20,INR
2728.48,Ola cab ride,2023-08-18,INR
2886.33,Ola cab ride,2023-10-05,INR
154.51,Gym membership,2023-02-06,INR
3642.02,Hotel stay,2023-04-06,INR
1463.66,Grocery shopping,2023-06-03,INR
1583.07,Clothing shopping,2023-12-16,INR
2245.03,Flight booking,2023-04-05,INR
1421.53,Book purchase,2023-04-23,INR
335.23,Coffee at cafe,2023-06-14,INR
3732.15,Ola cab ride,2023-05-16,INR
435.39,Clothing shopping,2023-12-12,INR
1520.7,Book purchase,2023-10-31,INR
3760.63,Ola cab ride,2023-01-28,INR
904.99,Flight booking,2023-09-18,INR
1575.8,Electricity bill,2023-01-25,INR
411.63,Zomato food order,2023-07-01,INR
3646.12,Electricity bill,2023-01-08,INR
4073.96,Gym membership,2023-02-21,INR
1026.16,Mobile recharge,2023-10-09,INR
3891.24,Gym membership,2023-11-09,INR
703.01,Clothing shopping,2023-08-10,INR
2429.67,Book purchase,2023-07-07,INR
3044.11,Movie tickets,2023-02-26,INR
1319.96,Medical bill,2023-11-29,INR
4443.81,Movie tickets,2023-03-02,INR
4399.01,Rent payment,2023-09-12,INR
3482.79,Book purchase,2023-09-01,INR
2857.78,Coffee at cafe,2023-06-05,INR
4457.3,Grocery shopping,2023-03-31,INR
641.09,Swiggy food order,2023-05-15,INR
3156.4,Amazon purchase,2023-09-22,INR
987.81,Gym membership,2023-08-07,INR
331.0,Gym membership,2023-04-20,INR
3034.5,Electricity bill,2023-09-24,INR
665.19,Swiggy food order,2023-02-22,INR
518.81,Clothing shopping,2023-02-18,INR
2772.99,Coffee at cafe,2023-10-05,INR
4479.93,Gym membership,2023-08-30,INR
4514.72,Coffee at cafe,2023-05-15,INR
3403.42,Clothing shopping,2023-10-27,INR
2166.29,Coffee at cafe,2023-06-12,INR
1110.73,Rent payment,2023-01-27,INR
4820.93,Movie tickets,2023-01-16,INR
2546.38,Hotel stay,2023-06-30,INR
316.07,Clothing shopping,2023-07-14,INR
2328.53,Clothing shopping,2023-11-21,INR
1295.1,Mobile recharge,2023-08-20,INR
1907.7,Grocery shopping,2023-10-09,INR
2137.62,Medical bill,2023-02-02,INR
3758.71,Ola cab ride,2023-03-23,INR
2328.45,Ola cab ride,2023-08-31,INR
542.59,Ola cab ride,2023-02-01,INR
923.67,Swiggy food order,2023-02-25,INR
2506.95,Grocery shopping,2023-02-08,INR
4735.51,Grocery shopping,2023-09-12,INR
1712.54,Electricity bill,2023-08-26,INR
3086.6,Gym membership,2023-04-19,INR
4189.65,Amazon purchase,2023-06-22,INR
3217.88,Clothing shopping,2023-06-15,INR
1120.57,Zomato food order,2023-03-23,INR
3602.29,Amazon purchase,2023-10-05,INR
873.83,Movie tickets,2023-02-15,INR
4368.41,Rent payment,2023-08-16,INR
1337.03,Grocery shopping,2023-02-28,INR
1392.78,Movie tickets,2023-03-27,INR
1239.71,Electricity bill,2023-06-14,INR
544.08,Electricity bill,2023-06-26,INR
4163.9,Zomato food order,2023-08-15,INR
4489.94,Ola cab ride,2023-01-07,INR
936.93,Hotel stay,2023-10-23,INR
3555.32,Book purchase,2023-03-13,INR
1671.15,Ola cab ride,2023-03-28,INR
4797.62,Coffee at cafe,2023-09-19,INR
3947.44,Grocery shopping,2023-12-01,INR
2595.64,Zomato food order,2023-01-09,INR
626.52,Electricity bill,2023-08-31,INR
1836.21,Movie tickets,2023-01-31,INR
2831.7,Book purchase,2023-06-10,INR
795.57,Electricity bill,2023-11-27,INR
2682.42,Swiggy food order,2023-07-16,INR
4280.57,Amazon purchase,2023-07-20,INR
2817.47,Coffee at cafe,2023-09-23,INR
1674.34,Amazon purchase,2023-02-15,INR
4265.03,Hotel stay,2023-10-06,INR
3615.71,Amazon purchase,2023-12-24,INR
2610.34,Zomato food order,2023-10-28,INR
3119.01,Swiggy food order,2023-12-16,INR
4763.7,Flight booking,2023-09-04,INR
1410.72,Hotel stay,2023-11-10,INR
537.61,Zomato food order,2023-11-30,INR
