amount,description,date,currency
2534.72,Hotel stay,2023-12-13,INR
3474.02,Ola cab ride,2023-04-10,INR
507.16,Rent payment,2023-02-04,INR
4211.15,Grocery shopping,2023-07-08,INR
1227.14,Amazon purchase,2023-09-03,INR
4729.87,Swiggy food order,2023-01-11,INR
3156.7,Movie tickets,2023-08-05,INR
3296.81,Zomato food order,2023-10-17,INR
1072.55,Hotel stay,2023-01-07,INR
3101.01,Hotel stay,2023-09-23,INR
4619.19,Electricity bill,2023-06-05,INR
2956.93,Medical bill,2023-01-10,INR
3804.23,Grocery shopping,2023-01-31,INR
2607.97,Mobile recharge,2023-06-03,INR
2344.01,Swiggy food order,2023-04-17,INR
3950.18,Rent payment,2023-03-21,INR
4360.38,Zomato food order,2023-06-02,INR
299.75,Grocery shopping,2023-11-01,INR
302.87,Ola cab ride,2023-12-04,INR
1039.13,Rent payment,2023-11-14,INR
419.82,Electricity bill,2023-07-18,INR
1760.11,Movie tickets,2023-08-09,INR
2214.57,Ola cab ride,2023-05-21,INR
4617.88,Coffee at cafe,2023-04-29,INR
1846.79,Rent payment,2023-01-20,INR
3842.72,Amazon purchase,2023-12-19,INR
4645.54,Clothing shopping,2023-04-20,INR
3415.35,Hotel stay,2023-10-04,INR
837.76,Coffee at cafe,2023-10-25,INR
3577.14,Medical bill,2023-09-01,INR
2937.43,Gym membership,2023-01-31,INR
856.3,Ola cab ride,2023-12-23,INR
900.99,Coffee at cafe,2023-03-04,INR
279.23,Electricity bill,2023-09-08,INR
205.38,Rent payment,2023-11-02,INR
2258.77,Coffee at cafe,2023-04-18,INR
808.23,Grocery shopping,2023-07-29,INR
1330.67,Flight booking,2023-01-28,INR
921.28,Amazon purchase,2023-04-24,INR
3420.19,Mobile recharge,2023-03-01,INR
3664.73,Book purchase,2023-10-16,INR
2691.31,Zomato food order,2023-12-04,INR
3596.52,Amazon purchase,2023-07-27,INR
3473.84,Book purchase,2023-03-29,INR
1178.17,Gym membership,2023-02-28,INR
766.28,Hotel stay,2023-06-15,INR
3989.81,Rent payment,2023-04-14,INR
3390.2,Ola cab ride,2023-10-13,INR
3590.83,Hotel stay,2023-08-04,INR
1493.46,Flight booking,2023-03-24,INR
469.58,Swiggy food order,2023-02-17,INR
3986.08,Rent payment,2023-10-08,INR
1115.4,Clothing shopping,2023-12-02,INR
3386.73,Flight booking,2023-02-12,INR
520.02,Movie tickets,2023-03-05,INR
1544.37,Amazon purchase,2023-09-08,INR
3837.82,Gym membership,2023-05-22,INR
1756.78,Book purchase,2023-11-24,INR
411.49,Ola cab ride,2023-10-31,INR
2834.5,Hotel stay,2023-12-25,INR
2794.06,Swiggy food order,2023-02-17,INR
4846.76,Ola cab ride,2023-07-05,INR
4391.52,Flight booking,2023-11-24,INR
4281.84,Amazon purchase,2023-07-15,INR
2149.98,Ola cab ride,2023-04-08,INR
1547.07,Flight booking,2023-05-27,INR
1926.8,Amazon purchase,2023-09-30,INR
3319.38,Clothing shopping,2023-11-07,INR
389.02,Mobile recharge,2023-02-15,INR
2148.69,Grocery shopping,2023-05-22,INR
3448.87,Mobile recharge,2023-09-23,INR
3990.99,Coffee at cafe,2023-03-06,INR
811.43,Grocery shopping,2023-10-17,INR
1249.9,Swiggy food order,2023-07-31,INR
4411.99,Amazon purchase,2023-05-13,INR
4511.38,Coffee at cafe,2023-09-30,INR
1373.1,Ola cab ride,2023-09-03,INR
3864.93,Mobile recharge,2023-03-07,INR
2991.56,Hotel stay,2023-06-13,INR
2053.02,Clothing shopping,2023-11-15,INR
4157.55,Gym membership,2023-06-16,INR
751.6,Hotel stay,2023-05-12,INR
1135.91,Hotel stay,2023-06-10,INR
3125.02,Movie tickets,2023-12-18,INR
4867.78,Movie tickets,2023-12-07,INR
2426.38,Medical bill,2023-12-13,INR
4727.38,Electricity bill,2023-12-25,INR
1099.66,Book purchase,2023-02-08,INR
4851.12,Zomato food order,2023-12-03,INR
2501.8,Ola cab ride,2023-05-30,INR
3554.82,Grocery shopping,2023-11-02,INR
1846.02,Gym membership,2023-04-28,INR
2595.49,Mobile recharge,2023-06-06,INR
2037.93,Gym membership,2023-01-16,INR
427.81,Clothing shopping,2023-02-23,INR
3774.98,Rent payment,2023-06-27,INR
3096.44,Medical bill,2023-01-28,INR
1872.16,Book purchase,2023-04-04,INR
2431.53,Gym membership,2023-09-08,INR
465.77,Amazon purchase,2023-07-23,INR
1598.73,Amazon purchase,2023-09-18,INR
222.52,Rent payment,2023-12-10,INR
2979.57,Flight booking,2023-03-18,INR
3769.68,Medical bill,2023-12-11,INR
3507.58,Zomato food order,2023-02-09,INR
3386.47,Swiggy food order,2023-04-01,INR
562.67,Amazon purchase,2023-03-27,INR
4333.22,Medical bill,2023-06-26,INR
4038.36,Clothing shopping,2023-04-02,INR
534.43,Gym membership,2023-11-08,INR
4588.47,Flight booking,2023-06-15,INR
696.82,Book purchase,2023-08-30,INR
1421.68,Grocery shopping,2023-02-05,INR
2564.6,Clothing shopping,2023-05-21,INR
1449.26,Swiggy food order,2023-08-25,INR
1905.14,Movie tickets,2023-10-23,INR
4443.94,Medical bill,2023-07-24,INR
1429.78,Book purchase,2023-11-17,INR
1765.25,Zomato food order,2023-07-18,INR
163.81,Clothing shopping,2023-10-06,INR
1880.22,Movie tickets,2023-07-31,INR
549.2,Coffee at cafe,2023-09-27,INR
1542.11,Mobile recharge,2023-07-24,INR
2746.2,Medical bill,2023-03-25,INR
4161.56,Movie tickets,2023-06-02,INR
4763.52,Swiggy food order,2023-07-06,INR
2872.08,Amazon purchase,2023-08-20,INR
467.96,Mobile recharge,2023-08-07,INR
2554.64,Grocery shopping,2023-12-03,INR
1154.7,Mobile recharge,2023-12-25,INR
3462.24,Flight booking,2023-05-10,INR
2134.13,Electricity bill,2023-11-16,INR
1979.28,Movie tickets,2023-10-21,INR
1492.62,Rent payment,2023-09-21,INR
830.14,Electricity bill,2023-03-11,INR
1445.46,Mobile recharge,2023-06-23,INR
481.75,Zomato food order,2023-10-17,INR
4910.6,Amazon purchase,2023-11-26,INR
4817.84,Coffee at cafe,2023-04-03,INR
3406.18,Hotel stay,2023-08-22,INR
1544.93,Mobile recharge,2023-04-16,INR
1011.72,Book purchase,2023-10-15,INR
1566.56,Swiggy food order,2023-05-23,INR
758.41,Ola cab ride,2023-11-23,INR
2006.79,Gym membership,2023-05-29,INR
893.82,Zomato food order,2023-12-31,INR
187.9,Clothing shopping,2023-07-08,INR
3650.95,Mobile recharge,2023-10-20,INR
1372.44,Mobile recharge,2023-10-05,INR
4160.06,Rent payment,2023-07-17,INR
2495.39,Zomato food order,2023-04-02,INR
1832.95,Swiggy food order,2023-03-12,INR
804.72,Amazon purchase,2023-05-26,INR
4706.84,Grocery shopping,2023-07-11,INR
2810.93,Movie tickets,2023-10-02,INR
1621.24,Flight booking,2023-03-15,INR
3006.25,Medical bill,2023-07-10,INR
3880.71,Rent payment,2023-03-09,INR
895.95,Ola cab ride,2023-01-17,INR
2382.89,Hotel stay,2023-01-27,INR
4662.43,Book purchase,2023-02-09,INR
3489.17,Swiggy food order,2023-10-11,INR
4517.46,Clothing shopping,2023-12-07,INR
3776.42,Electricity bill,2023-01-13,INR
1804.98,Hotel stay,2023-03-25,INR
3791.36,Grocery shopping,2023-02-18,INR
4168.57,Clothing shopping,2023-07-17,INR
2557.13,Grocery shopping,2023-07-17,INR
1716.7,Rent payment,2023-02-06,INR
2488.54,Hotel stay,2023-03-21,INR
4601.24,Clothing shopping,2023-09-01,INR
1541.6,Gym membership,2023-04-22,INR
3639.14,Gym membership,2023-06-13,INR
3640.49,Amazon purchase,2023-04-23,INR
2606.23,Gym membership,2023-11-07,INR
4274.4,Medical bill,2023-10-31,INR
309.27,Mobile recharge,2023-12-02,INR
1038.77,Book purchase,2023-09-04,INR
3747.93,Coffee at cafe,2023-04-24,INR
2103.85,Mobile recharge,2023-03-11,INR
1892.1,Ola cab ride,2023-08-21,INR
1716.55,Gym membership,2023-09-07,INR
2237.3,Gym membership,2023-02-03,INR
1675.4,Rent payment,2023-05-10,INR
706.45,Swiggy food order,2023-09-06,INR
4072.04,Grocery shopping,2023-10-18,INR
3443.17,Zomato food order,2023-01-23,INR
1924.47,Movie tickets,2023-08-11,INR
1054.92,Grocery shopping,2023-02-08,INR
4348.76,Book purchase,2023-09-05,INR
3248.8,Rent payment,2023-02-15,INR
939.74,Gym membership,2023-04-10,INR
2905.03,Medical bill,2023-12-18,INR
2428.06,Flight booking,2023-07-30,INR
2123.4,Flight booking,2023-08-29,INR
3809.21,Medical bill,2023-09-12,INR
2904.33,Ola cab ride,2023-09-07,INR
3854.17,Clothing shopping,2023-09-21,INR
4083.24,Rent payment,2023-11-11,INR
1071.53,Amazon purchase,2023-08-17,INR
1098.46,Medical bill,2023-11-04,INR
4596.37,Ola cab ride,2023-06-09,INR
2953.35,Electricity bill,2023-03-08,INR
523.22,Flight booking,2023-11-24,INR
3232.53,Gym membership,2023-07-05,INR
1389.38,Flight booking,2023-10-02,INR
1052.48,Swiggy food order,2023-06-27,INR
3469.05,Coffee at cafe,2023-10-18,INR
4074.03,Coffee at cafe,2023-10-04,INR
4441.8,Gym membership,2023-11-30,INR
4106.36,Zomato food order,2023-05-03,INR
3331.2,Hotel stay,2023-11-12,INR
4355.16,Amazon purchase,2023-07-08,INR
2320.6,Book purchase,2023-09-27,INR
2679.03,Grocery shopping,2023-10-12,INR
1588.44,Flight booking,2023-03-01,INR
791.74,Zomato food order,2023-11-17,INR
4400.74,Hotel stay,2023-09-19,INR
1995.0,Movie tickets,2023-11-04,INR
355.73,Clothing shopping,2023-12-21,INR
2754.09,Swiggy food order,2023-06-21,INR
4778.93,Rent payment,2023-04-08,INR
2866.19,Rent payment,2023-04-07,INR
494.98,Book purchase,2023-07-20,INR
1147.47,Grocery shopping,2023-12-06,INR
4811.76,Swiggy food order,2023-03-14,INR
207.04,Medical bill,2023-04-27,INR
1950.32,Swiggy food order,2023-09-19,INR
204.79,Zomato food order,2023-08-02,INR
3883.48,Coffee at cafe,2023-10-16,INR
1457.92,Coffee at cafe,2023-04-17,INR
830.92,Coffee at cafe,2023-05-29,INR
778.21,Gym membership,2023-01-25,INR
2767.18,Movie tickets,2023-08-31,INR
727.91,Amazon purchase,2023-05-29,INR
1452.25,Hotel stay,2023-02-09,INR
1177.77,Gym membership,2023-07-23,INR
2689.25,Mobile recharge,2023-02-12,INR
2581.54,Medical bill,2023-04-23,INR
1520.83,Flight booking,2023-06-03,INR
3224.76,Mobile recharge,2023-11-07,INR
1769.53,Hotel stay,2023-05-02,INR
3774.0,Amazon purchase,2023-01-12,INR
1964.79,Amazon purchase,2023-12-18,INR
4767.11,Gym membership,2023-04-28,INR
4687.21,Mobile recharge,2023-07-22,INR
979.95,Medical bill,2023-07-10,INR
460.65,Flight booking,2023-07-10,INR
3261.32,Clothing shopping,2023-03-16,INR
1137.03,Medical bill,2023-07-05,INR
3363.36,Medical bill,2023-09-09,INR
1186.9,Grocery shopping,2023-05-28,INR
1959.2,Zomato food order,2023-02-09,INR
4962.3,Coffee at cafe,2023-12-16,INR
4291.83,Movie tickets,2023-01-25,INR
898.48,Flight booking,2023-03-19,INR
1230.86,Swiggy food order,2023-01-23,INR
3213.87,Clothing shopping,2023-11-20,INR
2134.13,Swiggy food order,2023-03-07,INR
4525.32,Mobile recharge,2023-07-08,INR
2468.62,Coffee at cafe,2023-01-15,INR
1505.02,Zomato food order,2023-05-28,INR
1113.02,Gym membership,2023-11-18,INR
4435.35,Ola cab ride,2023-04-07,INR
512.21,Movie tickets,2023-09-24,INR
2620.71,Clothing shopping,2023-02-27,INR
473.7,Mobile recharge,2023-08-28,INR
4520.29,Grocery shopping,2023-07-31,INR
1673.35,Mobile recharge,2023-05-03,INR
3799.39,Hotel stay,2023-07-22,INR
471.4,Ola cab ride,2023-07-04,INR
3479.74,Grocery shopping,2023-07-24,INR
3540.5,Gym membership,2023-10-27,INR
618.86,Swiggy food order,2023-04-26,INR
3960.46,Coffee at cafe,2023-09-25,INR
1961.0,Electricity bill,2023-11-19,INR
729.56,Electricity bill,2023-07-09,INR
4621.48,Movie tickets,2023-05-02,INR
2850.73,Hotel stay,2023-06-13,INR
3215.73,Mobile recharge,2023-07-29,INR
373.29,Rent payment,2023-05-20,INR
1278.68,Flight booking,2023-10-24,INR
4275.8,Ola cab ride,2023-01-02,INR
1362.05,Ola cab ride,2023-11-15,INR
1644.58,Flight booking,2023-01-24,INR
3184.63,Swiggy food order,2023-01-26,INR
4161.57,Grocery shopping,2023-10-11,INR
1680.15,Electricity bill,2023-03-03,INR
2256.55,Coffee at cafe,2023-06-24,INR
1612.74,Grocery shopping,2023-05-07,INR
4213.57,Ola cab ride,2023-07-12,INR
1940.0,Amazon purchase,2023-04-04,INR
2786.25,Hotel stay,2023-06-25,INR
1764.65,Coffee at cafe,2023-10-25,INR
1272.23,Electricity bill,2023-10-13,INR
2458.17,Mobile recharge,2023-01-01,INR
1216.8,Flight booking,2023-08-16,INR
1421.0,Electricity bill,2023-12-30,INR
4271.56,Clothing shopping,2023-02-15,INR
4640.1,Movie tickets,2023-08-22,INR
724.45,Electricity bill,2023-05-24,INR
3514.42,Zomato food order,2023-06-29,INR
576.19,Gym membership,2023-08-15,INR
4488.4,Movie tickets,2023-09-11,INR
2762.88,Rent payment,2023-06-24,INR
1067.95,Movie tickets,2023-01-04,INR
2468.19,Medical bill,2023-09-23,INR
3409.08,Mobile recharge,2023-03-20,INR
1967.74,Coffee at cafe,2023-09-17,INR
2430.49,Swiggy food order,2023-01-07,INR
4809.12,Medical bill,2023-03-24,INR
1114.38,Hotel stay,2023-05-25,INR
4821.02,Mobile recharge,2023-10-04,INR
4201.75,Hotel stay,2023-09-19,INR
3326.01,Amazon purchase,2023-11-09,INR
3870.34,Amazon purchase,2023-08-14,INR
3549.34,Zomato food order,2023-07-05,INR
360.21,Grocery shopping,2023-06-27,INR
1889.41,Book purchase,2023-03-27,INR
3326.54,Flight booking,2023-11-16,INR
2178.52,Rent payment,2023-10-07,INR
498.2,Amazon purchase,2023-10-29,INR
2253.96,Flight booking,2023-07-30,INR
2473.23,Grocery shopping,2023-02-02,INR
1980.51,Amazon purchase,2023-12-08,INR
3220.61,Gym membership,2023-04-07,INR
3290.75,Ola cab ride,2023-07-06,INR
997.07,Gym membership,2023-11-18,INR
4849.57,Zomato food order,2023-09-22,INR
2690.33,Amazon purchase,2023-08-24,INR
2603.26,Coffee at cafe,2023-02-18,INR
4665.23,Medical bill,2023-07-10,INR
864.94,Rent payment,2023-05-15,INR
605.3,Swiggy food order,2023-03-16,INR
4970.19,Book purchase,2023-02-08,INR
446.05,Zomato food order,2023-04-14,INR
390.4,Amazon purchase,2023-01-09,INR
3936.45,Flight booking,2023-10-09,INR
3276.91,Coffee at cafe,2023-02-10,INR
1983.92,Movie tickets,2023-09-02,INR
129.6,Coffee at cafe,2023-04-24,INR
3377.06,Electricity bill,2023-09-09,INR
1152.36,Mobile recharge,2023-03-08,INR
2443.62,Clothing shopping,2023-04-12,INR
3526.45,Medical bill,2023-07-09,INR
3750.03,Amazon purchase,2023-03-08,INR
4028.0,Electricity bill,2023-07-20,INR
1161.41,Flight booking,2023-12-05,INR
2445.25,Rent payment,2023-01-23,INR
4587.33,Medical bill,2023-04-04,INR
1785.23,Swiggy food order,2023-12-30,INR
2273.92,Coffee at cafe,2023-06-01,INR
4283.82,Swiggy food order,2023-03-30,INR
4435.64,Clothing shopping,2023-05-23,INR
1553.65,Book purchase,2023-12-31,INR
2854.58,Swiggy food order,2023-03-23,INR
861.82,Amazon purchase,2023-04-27,INR
1977.69,Medical bill,2023-04-03,INR
3525.13,Clothing shopping,2023-12-18,INR
871.71,Hotel stay,2023-03-22,INR
2072.78,Hotel stay,2023-10-03,INR
2969.24,Ola cab ride,2023-12-25,INR
4386.31,Coffee at cafe,2023-07-16,INR
4509.72,Gym membership,2023-11-24,INR
1169.49,Book purchase,2023-06-11,INR
1772.29,Coffee at cafe,2023-10-08,INR
861.27,Mobile recharge,2023-10-17,INR
861.46,Amazon purchase,2023-07-29,INR
306.61,Grocery shopping,2023-07-21,INR
777.23,Rent payment,2023-04-01,INR
4808.2,Coffee at cafe,2023-04-10,INR
3491.65,Clothing shopping,2023-02-15,INR
180.63,Rent payment,2023-01-09,INR
2658.02,Electricity bill,2023-12-05,INR
4372.02,Movie tickets,2023-05-28,INR
4502.01,Book purchase,2023-09-29,INR
3725.36,Flight booking,2023-09-16,INR
4414.12,Gym membership,2023-04-28,INR
4450.85,Ola cab ride,2023-11-14,INR
862.99,Book purchase,2023-09-10,INR
4338.59,Zomato food order,2023-01-29,INR
1240.28,Amazon purchase,2023-07-01,INR
861.17,Gym membership,2023-04-29,INR
266.74,Clothing shopping,2023-04-23,INR
527.81,Medical bill,2023-06-28,INR
2371.13,Ola cab ride,2023-05-07,INR
1645.77,Swiggy food order,2023-12-13,INR
2824.27,Grocery shopping,2023-02-13,INR
3817.1,Ola cab ride,2023-06-22,INR
3848.4,Clothing shopping,2023-04-13,INR
614.24,Electricity bill,2023-01-25,INR
3703.69,Amazon purchase,2023-10-06,INR
4035.19,Amazon purchase,2023-12-03,INR
2695.48,Medical bill,2023-08-07,INR
1642.21,Grocery shopping,2023-04-05,INR
3286.37,Ola cab ride,2023-07-19,INR
4045.72,Rent payment,2023-05-01,INR
4181.88,Amazon purchase,2023-02-24,INR
3132.96,Electricity bill,2023-03-12,INR
1449.1,Amazon purchase,2023-07-03,INR
3384.67,Medical bill,2023-07-16,INR
4469.18,Electricity bill,2023-04-03,INR
1821.54,Coffee at cafe,2023-01-06,INR
4014.1,Hotel stay,2023-02-27,INR
4846.4,Gym membership,2023-04-08,INR
3773.97,Electricity bill,2023-12-16,INR
1648.75,Gym membership,2023-07-10,INR
1438.22,Electricity bill,2023-02-19,INR
2231.84,Amazon purchase,2023-09-02,INR
2536.65,Zomato food order,2023-11-27,INR
4822.6,Zomato food order,2023-07-10,INR
2074.0,Hotel stay,2023-11-11,INR
2137.28,Clothing shopping,2023-11-21,INR
4830.26,Hotel stay,2023-01-08,INR
4186.11,Clothing shopping,2023-01-13,INR
250.04,Amazon purchase,2023-08-09,INR
1447.28,Electricity bill,2023-02-26,INR
2171.16,Medical bill,2023-03-14,INR
2879.9,Rent payment,2023-05-03,INR
3757.29,Swiggy food order,2023-10-14,INR
4179.07,Book purchase,2023-12-31,INR
2729.07,Swiggy food order,2023-08-28,INR
741.85,Hotel stay,2023-12-28,INR
3384.38,Medical bill,2023-02-06,INR
3975.17,Movie tickets,2023-07-25,INR
711.4,Movie tickets,2023-12-16,INR
